order,Questions / Comments of editors,Changes observed by editors,ID previous,ID new,Format version ID (when introduced),Field Name (de),Field Name (en),Element/Attribute Name,Technically Required,Occ.,Datatype,Original ILCD Format Definition (en),Definition (de),InData Definition (en),Further explanations (EN),InData compliance CP-2020,ECO Platform conformity,ÖKOBAUDAT conformity,Deviation to ILCD format definition (see FAQ),Extension of ILCD format,InData Compliance Construction Products CPEN2020,eDoc ID,Example of expected information in the field,EN15804+A2 mapping (chapter number),EN15804+A2 required information,ISO 22057 mapping (GUID),ISO 22057 required information,ISO 21930 mapping,ISO 21930 required information,Indent,Path
131.0,,,new,C.1.1,v1.0,Art des Datensatzes,Type of data set,typeOfDataSet,r,"[0,1]",EPD,"Type of the data set regarding systematic inclusion/exclusion of upstream or downstream processes, transparency and internal (hidden) multi-functionality, and the completeness of modelling.","Für EPD-Datensätze (dazu zählen auch generische) ist der Wert dieses Feldes immer ""EPD""","For EPD datasets including generic ones, this value is always ""EPD""",,m,,,,,,1-3-14-40,,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/typeOfDataSet
132.0,,changes in the definition ok (requirements replaced by statements); additional definitions shifted to explanation,B1.1,C.1.2,v1.0,LCA-Methodenbericht,LCA methodology report,referenceToLCAMethodDetails,o,"[0,n]",GlobalReferenceType,"""Source data set""(s) where the generally used LCA methods including the LCI method principles and specific approaches, the modelling constants details, as well as any other applied methodological conventions are described.","Hier kann ein ""Source""-Datensatz mit der Referenz zum PCR-Dokument angehängt werden.","""Source data set"" that represents the applied PCR document(s).","Reference to the General Programme Instructions may be added if deemed necessary. +
For generic data an equivalent document shall be attached, e.g. project report, general description of LCA methodology.",m,"EN 15804+A2: table 2, line 1 +
 +
PCR name  and PCR version (MM YYYY)","EN 15804+A2: table 2, line 1 +
 +
PCR name  and PCR version (MM YYYY)",semantic,,,1-3-14-47,PCR_cement.pdf,T2 L1,PCR reference,,,,,2,modellingAndValidation/LCIMethodAndAllocation/referenceToLCAMethodDetails
133.0,,,B1.5,C.1.3,v1.0,Anderer Inhalt,Other content,other,o,"[0,1]",,May contain arbitrary content.,,~,,o,"Electricity mix (market-based approach or location-based +
approach used for main results as per the PCR)  (basically if both sets of results are digitised, then each will need to say whether they are market based or location based.   +
 +
Electricity mix (market-based approach or location-based +
approach used for main results as per the PCR)  (basically if both sets of results are digitised, then each will need to say whether they are market based or location based. +
 +
A statement which version of Characterisation factors was used   +
 +
Indication of the key assumptions and estimates for interpretation which are not depicted elsewhere in the EPD +
 +
Use of BMB +
 +
Approach Power Mix: Reporting done as required in EN 15941. Market-based approach or location-based approach to be specified for any results provided. +
 +
The use of any contractual instruments (e.g. GO or tracked flows (e.g. electricity, biogas, other renewable energy)) that are used to model renewable energy in the EPD; +
Any use of on-site generation or directly connected energy supply that is used to model renewable energy in the EPD; +
 +
The approach to the modelling of electricity, gas and other energy (i.e. residual mix or consumption mix) for foreground data, background data, upstream and downstream processes.  minimum: residual mix, consumption mix and any modelled mix.  +
 +
If electricity accounts for more than 30 % of the total energy use in stage A1-A3, provide in the EPD the GWP-total of the electricity in kg CO2e/kWh used in foreground processes and any other processes in the direct control of the manufacturer.","Electricity mix (market-based approach or location-based +
approach used for main results as per the PCR)  (basically if both sets of results are digitised, then each will need to say whether they are market based or location based.   +
 +
Electricity mix (market-based approach or location-based +
approach used for main results as per the PCR)  (basically if both sets of results are digitised, then each will need to say whether they are market based or location based. +
 +
A statement which version of Characterisation factors was used   +
 +
Indication of the key assumptions and estimates for interpretation which are not depicted elsewhere in the EPD +
 +
Use of BMB +
 +
Approach Power Mix: Reporting done as required in EN 15941. Market-based approach or location-based approach to be specified for any results provided. +
 +
The use of any contractual instruments (e.g. GO or tracked flows (e.g. electricity, biogas, other renewable energy)) that are used to model renewable energy in the EPD; +
Any use of on-site generation or directly connected energy supply that is used to model renewable energy in the EPD; +
 +
The approach to the modelling of electricity, gas and other energy (i.e. residual mix or consumption mix) for foreground data, background data, upstream and downstream processes.  minimum: residual mix, consumption mix and any modelled mix.  +
 +
If electricity accounts for more than 30 % of the total energy use in stage A1-A3, provide in the EPD the GWP-total of the electricity in kg CO2e/kWh used in foreground processes and any other processes in the direct control of the manufacturer.",,,,0,,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/other
134.0,Please check: Englisch and German terms in Datatype,No change detected (O-P),B1.2,C.1.4,v1.1,Subtyp,Subtype,epd:subType,r,"[0,1]","generic dataset/ Generischer Datensatz +
representative dataset / Repräsentativer Datensatz +
average dataset / Durchschnittsdatensatz +
specific dataset / (Hersteller-) Spezifischer Datensatz +
template dataset / Musterdatensatz",,"Gibt den Datensatztypen hinsichtlich Repräsentativität an. Einer der folgenden vordefinierten Datensatztypen muss ausgewählt werden: - specific dataset (spezifischer Datensatz) - hersteller-(unternehmens-) spezifischer Datensatz für ein konkretes Produkt eines Werkes - average dataset (Durchschnittsdatensatz) - durchschnittliche Datensätze von Industrieverbänden, mehreren Firmen, mehreren Werken oder mehreren Produkten (d.h. auf Grundlage von Daten der Industrieproduktion von Unternehmen) - representative dataset (repräsentativer Datensatz) - representative dataset – Daten, die repräsentativ für ein Land / eine Region sind (z.B. Durchschnitt DE) - template dataset (Muster-EPD-Datensatz) - unspezifische Datensätze für spezifische Produkte, die auf Basis einer „Muster-EPD“ erstellt wurden - generic dataset (generischer Datensatz) - generische Daten gemäß EN 15804 sowie andere, nicht auf Basis von Industriedaten modellierte Daten (z.B. auf der Basis von Literatur, Expertenwissen etc.)","Indicates the type of data set regarding its representativeness. One of the following predefined data types has to be chosen:  +
- specific dataset: vendor (company) specific data for a specific product from one production site  +
- average dataset: avarage datasets from industry associations, multiple manufacturers, multiple production sites or multiple products, i.e. modelled based on industry data from an manufacturer  +
- representative dataset: data that is representative for a country or region (e.g. average for Germany) +
- template dataset: sample EPD, unspecific datasets for specific products, that were created based on a sample EPD +
- generic dataset: generic data acc. to EN 15804 and data based on other non-industry data sources (e.g. literature, expert knowledge)",,m,"For EPDs of product group: a statement that the EPD +
covers a product group and a description of the type +
of such EPD (e.g., average, representative product or +
worst-case product);","For EPDs of product group: a statement that the EPD +
covers a product group and a description of the type +
of such EPD (e.g., average, representative product or +
worst-case product);",,x,,,generic dataset,,,,,,,3,modellingAndValidation/LCIMethodAndAllocation/other/epd:subType
135.0,"Pseudquantification (nformation has no added value, EPDs have to be PCR compliant); suggestion remove; alternative property could be a description of the (authorised) deviations from PCR rules. If properties nevertheless remains: definition added byeditors",,new,C.1.5,v1.3,PCR-Konformität,PCR Compliance,epd24:pcrCompliance,o,"[0,1]",,,,Statements regarding PCR Compliance,,o,,,,,,,,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/epd24:pcrCompliance
136.0,,,new,C.1.5.1,v1.3,Allokation,Allocation,@epd24:allocation,o,"[0,1]",boolean,,Allokation entspricht der Standard-PCR,Allocation compliant with standard PCR,,o,,,,,,,,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/@epd24:allocation
137.0,,,new,C.1.5.2,v1.3,Abschneidekriterien,Cut-off rules,@epd24:cutOffRules,o,"[0,1]",boolean,,Abschneidekriterien entsprechen der Standard-PCR,Cut-off rules compliant with standard PCR,,o,"A statement, if ecoinvent is used, of the LCA-method +
Cut-off by classification or Cut-off, EN 15804+A2","A statement, if ecoinvent is used, of the LCA-method +
Cut-off by classification or Cut-off, EN 15804+A2",,,,,,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/@epd24:cutOffRules
138.0,,,new,C.1.5.3,v1.3,Vorgelagerte Daten abweichend,Upstream data deviating,@epd24:upstreamDataDeviatingFromAllocationPrinciples,o,"[0,1]",boolean,,"Nutzung von vorgelagerten Daten, welche nicht den Allokationsregeln der Kern-PCR entsprechen",Use of upstream data which does not respect the allocation principles of the core PCR,,o,"Justification if any background data does not follow the +
recommendations of Table 3 of the LCA Calculation +
Rules.","Justification if any background data does not follow the +
recommendations of Table 3 of the LCA Calculation +
Rules.",,,,,,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/@epd24:upstreamDataDeviatingFromAllocationPrinciples
139.0,EN 15941 added in definition; explanation deleted (EPD document shall be attached - covered by another property),,new,C.1.6,v1.3,Variabilität,Variability,epd24:variability,o,"[0,1]",,,"Angaben zur Spanne/Variabilität der LCIA-Resultate, bspw. falls es sich bei den Resultate um Mittel über verschiedene Produkte oder Produktionsstätten handelt.","Information on the range/variability of the LCIA results according to EN 15941, e.g. if the results are averages across different products or production sites.",,m,EN 15804+A2: chapter 7.1 i,EN 15804+A2: chapter 7.1 i,,x,"Previously defined under ""Data sources"" +
not applicable for generic data",,,7.1 i,If an EPD declares an average environmental quality for multiple products: this must be explained,,,,,2,modellingAndValidation/LCIMethodAndAllocation/epd24:variability
140.0,Further eplanation added,HF: compared with rule in EN 15804 and changed therefore 'm' to 'o',new,C.1.6.1,v1.3,Herstellervariabilität,Manufacturer variability,epd24:manufacturerVariability,m,[1],,,Variabilität bzgl. verschiedener Hersteller/Produktionssttätten,Varibility across manufacturers/sites,Mandatory if EPD is declared as an average environmental performance for a number ofproducts from different manufacturers,o,,,,,,,,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/epd24:manufacturerVariability
141.0,,,new,C.1.6.1.1,v1.3,Art der Variabilität,Type of variability,@epd24:type,m,[1],"Single production site +
Single manufacturer with multiple production sites +
Multiple manufacturers",,Angaben zur genauen Art der Variabilität,Definition of the type of variability,,o,,,,,,,,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/@epd24:type
142.0,,,new,C.1.6.1.2,v1.3,Variation,Variation,@epd24:variation,o,"[0,1]",common:Perc,,Die Variabilität angegeben in Prozent.,Variability given in percent.,,o,,,,,,,,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/@epd24:variation
143.0,,,new,C.1.6.1.3,v1.3,Variationsspanne,Variation range,@epd24:variationRange,o,"[0,1]","Restricted xs:string: +
A - less than 2,5% +
B - between 2,5% and 10% +
C - between 10% and 25% +
D - between 25% and 50% +
E - more than 50%",,Grob abgeschätzte Angabe der Variation (s. ISO 14044 Annex B),Rough estimate of the variation (c.f. ISO 14044 Annex B),,o,,,,,,,,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/@epd24:variationRange
144.0,Further eplanation added,HF: compared with rule in EN 15804 and changed therefore 'm' to 'o',new,C.1.6.2,v1.3,Produktvariabilität,Product variability,epd24:productVariability,m,[1],,,Variabilität bzgl. verschiedener Produkte/Produkttypen,Variability accross products,Mandatory if EPD is declared as an average environmental performance for a number ofproducts,o,,,,,,,,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/epd24:productVariability
145.0,,,new,C.1.6.2.1,v1.3,Art der Variabilität,Type of variability,@epd24:type,m,[1],"Single product +
Range of products where variability is described",,Angabe zur Art der Variabilität,Information on the type of variability,,o,,,,,,,,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/@epd24:type
146.0,,,new,C.1.6.2.2,v1.3,Variation,Variation,@epd24:variation,o,"[0,1]",common:Perc,,Die Variabilität angegeben in Prozent.,Variability given in percent.,,o,,,,,,,,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/@epd24:variation
147.0,,,new,C.1.6.2.3,v1.3,Variationsspanne,Variation range,@epd24:variationRange,o,"[0,1]","Restricted xs:string: +
A - less than 2,5% +
B - between 2,5% and 10% +
C - between 10% and 25% +
D - between 25% and 50% +
E - more than 50%",,Grob abgeschätzte Angabe der Variation (s. ISO 14044 Annex B),Rough estimate of the variation (c.f. ISO 14044 Annex B),,o,,,,,,,,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/@epd24:variationRange
148.0,,,new,C.1.6.3,v1.3,Variabilitätsbeschreibung,Variability description,epd24:variabilityDescription,o,"[0,1]",FTMultiLang,,"Zusätzliche Beschreibungen, Erläuterungen und Anmerkungen, bspw. zu Aussagekraft und Methodik","Additional descriptions, explanations and comments, e.g. on significance and methodology",,o,,,,,,,,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/epd24:variabilityDescription
49.0,"shifted from B.4.2 to C.1.7 +
topic ""uncertainty penalities' does not fit to the previous one (product identifier)",,A1.6,C.1.7,v1.1,Sicherheitszuschläge,Generic data uncertainty penalties,epd:safetyMargins,o,"[0,1]",,,Ausweis enthaltener Sicherheitszuschläge,Documentation of uncertainty margins that have been included in the results,Find further explanations in FAQ.,o,,,,x,"Mandatory for generic data in ÖKOBAUDAT For InData compliance: This concept is used for generic data (at the moment only relevant in  ÖKOBAUDAT). +
For further details see FAQ.",,0.2,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/epd:safetyMargins
50.0,"shifted from B.4.2 to C.1.7 +
topic ""uncertainty penalities' does not fit to the previous one (product identifier)",,A1.6,C.1.7.1,v1.1,Sicherheitszuschläge,Uncertainty penalties,epd:margins,o,"[0,1]",Percentage,,Die Höhe der enthaltenen Zuschläge in Prozent,The amount (in percent) of the included uncertainty margins,Find further explanations in FAQ.,o,,,,,,,,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/epd:margins
51.0,"shifted from B.4.2 to C.1.7 +
topic ""uncertainty penalities' does not fit to the previous one (product identifier)",,A1.7,C.1.7.2,v1.1,Beschreibung,Description of generic data uncertainty penalties,epd:description,o,"[0,1]",FTMultiLang,,Begründung und Regeln für die Sicherheitszuschläge,Reasons and rules for choice of uncertainty penalties,Find further explanations in FAQ.,o,,,,x,"Mandatory for generic data in ÖKOBAUDAT For InData compliance: This concept is used for generic data (at the moment only relevant in  ÖKOBAUDAT). +
For further details see FAQ.",,Product system mapped completely except for the following processes / flows….,,,,,,,2,modellingAndValidation/LCIMethodAndAllocation/epd:description
149.0,,The original ILCD definition is not listed in the table of definitions in the ÖBD,B2,C.2,v1.0,Datenquellen und Repräsentativität,"Data sources, treatment, and representativeness",dataSourcesTreatmentAndRepresentativeness,r,"[0,1]",,"Data selection, completeness, and treatment principles and procedures, data sources and market coverage information.",,~,,,,,,,,2016-03-01 00:00:00,,,,,,,,1,modellingAndValidation/dataSourcesTreatmentAndRepresentativeness
150.0,Meaningless propsal for InData Defintion deleted; reference to EN 15941 added in 'explanation',"before in chapter 'Validation B3' +
change in definition 'repaired'",B3.5,C.2.1,v1.2,Dokumentation des Datenqualitätsmanagements,Documentation of data quality management,referenceToDataHandlingPrinciples,o,"[0,n]",GlobalReferenceType,"""Source data set""(s) of the source(s) in which the data completeness, selection, combination, treatment, and extrapolations principles' details are described",Dokument(e) können als Quelle(n) angehängt werden.,~,Information should be given according to EN 15941.,o,,,,,mandatory for generic data,1-3-16-54,,,,,,,,2,modellingAndValidation/dataSourcesTreatmentAndRepresentativeness/referenceToDataHandlingPrinciples
151.0,,Definition has been altered,B2.1,C.2.2,v1.0,Datenquellen,Data source(s) used for this data set,referenceToDataSource,r,"[0,n]",GlobalReferenceType,"""Source data set""(s) of the source(s) used for deriving/compiling the inventory of this data set e.g. questionnaires, monographies, plant operation protocols, etc. For LCI results and Partly terminated systems the sources for relevant background system data are to be given, too. For parameterised data sets the sources used for the parameterisation / mathematical relations in the section ""Mathematical model"" are referenced here as well. [Note: If the data set stems from another database or data set publication and is only re-published: identify the origin of a converted data set in ""Converted original data set from:"" field in section ""Data entry by"" and its unchanged re-publication in ""Unchanged re-publication of:"" in the section ""Publication and ownership"". The data sources used to model a converted or re-published data set are nevertheless to be given here in this field, for transparency reasons.]","Hier können die Datenquellen für die verwendeten Hintergrund-Daten, z.B. GaBi oder ecoinvent, referenziert werden.","Here, the respective ""Source"" data sets representing the background data used (like GaBi or ecoinvent) can be referenced.",,m,"A statement of the applied background database(s) +
and software, and both its versions [Source of background data used, name and dated version] +
 +
Indication of the age of background data used (e.g. last +
update or version of the database) +
 +
If any specific EPD are used in modelling, this should be +
mentioned. +
 +
Full indication of all referenced sources (excluding +
standards already quoted in full and standards concerning +
evidence)","A statement of the applied background database(s) and software, and both its versions [Source of background data used, name and dated version] +
 +
Indication of the age of background data used (e.g. last +
update or version of the database) +
 +
If any specific EPD are used in modelling, this should be +
mentioned. +
 +
Full indication of all referenced sources (excluding +
standards already quoted in full and standards concerning +
evidence)",semantic,,,1-3-16-55,"GaBi Version 6.5 - 2015 +
- Environmental data from the cement industry, 2009 +
- Ecological Assessment of Construction Products and Buildings, 2000 ….",,,0VfG_WGD1F0P4HN2kIu3nk,,,,2,modellingAndValidation/dataSourcesTreatmentAndRepresentativeness/referenceToDataSource
152.0,Old text in explanation deleted (no longer relevant),,B2.2,C.2.3,v1.0,Anwendungshinweis für Datensatz,Use advice for data set,useAdviceForDataSet,r,"[0,1]",FTMultiLang,"Specific methodological advice for data set users that requires attention. E.g. on inclusion/exclusion of recycling e.g. in material data sets, specific use phase behavior to be modelled, and other methodological advices. See also field ""Technological applicability"".","Besondere methodische Hinweise zur Verwendung des Datensatzes wie Anwendungsmöglichkeiten (z.B. Datensatz geeignet für die Ökobilanz von Gebäuden) oder -einschränkungen (z.B. Datensatz gilt nicht für Produkte, die im Nassverfahren hergestellt wurden). Ein Verweis auf geeignete koppelbare Datensätze kann angebracht werden.",Specific methodological advice for use of the data set as application options (e.g. data set shall be used for LCA of buildings) or restrictions (e.g. data set shall not be used for products produced in 'wet process'). A link to appropriate combinable datasets can be given.,,m,EN 15804+A2: chapter 7.1 h & 7.2 a,EN 15804+A2: chapter 7.1 h & 7.2 a,minor,,,1-3-16-62,"With high coverage, the data set represents the average production conditions and the induced environmental impacts for Germany. If no specific data are available for the products used, the use of this data set is recommended.",7.1 h & 7.2 a,"EPD type:  +
Modules A1-A3, C1-C4 and D are mandatory; variations: a) From cradle to gate with modules C1-C4 and module D (A1-A3 + C + D). +
b) From cradle to gate with options, modules C1-C4 and module D (A1-A3 + C + D, along with additional modules. The additional modules may include one or more modules selected from A4 to B7). +
c) From cradle to grave and module D (A + B + C + D). +
d) From cradle to gate (A1-A3). +
e) From cradle to gate with options (A1-A3 and additional modules; the additional modules may include A4 and A5).all declared modules are also refernced further below in LCIA section +
 +
Statement that EPDs of construction products might not be comparable unless they comply with this standard",,,,,2,modellingAndValidation/dataSourcesTreatmentAndRepresentativeness/useAdviceForDataSet
153.0,,,new,C.2.4,v1.0,Anderer Inhalt,Other content,other,o,"[0,1]",,May contain arbitrary content.,,~,,o,,,,,,0,,,,,,,,2,modellingAndValidation/dataSourcesTreatmentAndRepresentativeness/other
154.0,"Shifted from C.3.2 to C.2.5 +
Title corrected (as in old version)",,B2.3,C.2.5,v1.2,Verweis auf die originale EPD,Reference to original EPD,epd2:referenceToOriginalEPD,r,"[0,n]",GlobalReferenceType,,Hier können die zum Datensatz zugehörigen EPD-Dokumente als Quellen angehängt werden.,"Here, one or mutliple ""Source"" data sets representing the EPD document can be attached.","A ""Source data set"" set representing the EPD document shall be attached.",m,,,,,,,,,,3n5P8a1SLD18_Oiz0PDiiu,,,,2,modellingAndValidation/dataSourcesTreatmentAndRepresentativeness/epd2:referenceToOriginalEPD
155.0,Please check hierarchy by editors compared to original table,,new,C.3,v1.3,Liste der Hersteller,List of manufacturers,epd24:manufacturers,r,"[0,1]",,,Liste der Hersteller des/der beschriebenen Produkte(s).,List of manufacturers producing the modelled product(s).,,,"EN 15804+A2: chapter 7.1 a +
 +
Names of manufacturer(s) when the EPD declares an +
average of several manufacturers.","EN 15804+A2: chapter 7.1 a +
 +
Names of manufacturer(s) when the EPD declares an +
average of several manufacturers.",,,,,,7.1 a,Name and address of the manufacturer(s),,,,,1,modellingAndValidation/epd24:manufacturers
156.0,,,new,C.3.1,v1.3,Hersteller,manufacturer,epd24:manufacturer,r,"[0,n]",,,Hersteller des/der beschriebenen Produkte(s),Manufacturer of the described product(s),,m,EN 15804+A2: chapter 7.1 a,EN 15804+A2: chapter 7.1 a,,,,,,7.1 a,Name and address of the manufacturer(s),,,,,2,modellingAndValidation/epd24:manufacturers/epd24:manufacturer
157.0,,,new,C.3.1.1,v1.3,Kontaktdatenreferenz des Herstellers,Contact data reference of the manufacturer,epd24:contact,r,"[0,1]",GlobalReferenceType,,Referenz auf den Kontaktdatensatz des Herstellers,Reference to the contact dataset of the manufacturer,,m,EN 15804+A2: chapter 7.1 a,EN 15804+A2: chapter 7.1 a,,,,,,7.1 a,Name and address of the manufacturer(s),,,,,2,modellingAndValidation/epd24:manufacturers/epd24:contact
158.0,,,new,C.3.1.2,v1.3,Produktionsstätten,Manufacturing sites,epd24:sites,o,"[0,1]",,,Liste der Produktionsstätten dieses Herstellers für das/die beschriebene(n) Produkt(e),List of the manufacturing sites of this manufacturer for the described product(s),,m,"EN 15804+A2: chapter 7.1 a +
 +
Geographical area, i.e. market range, where the product +
is produced, [Name and location of production site(s).]","EN 15804+A2: chapter 7.1 a +
 +
Geographical area, i.e. market range, where the product +
is produced, [Name and location of production site(s).]",,,,,,7.1 a,Name and address of the manufacturer(s),,,,,2,modellingAndValidation/epd24:manufacturers/epd24:sites
159.0,,,new,C.3.1.2.1,v1.3,Produktionsstätte,Manufacturing site,epd24:site,r,"[0,n]",,,Produktionsstätte dieses Herstellers für das/die beschriebene(n) Produkt(e),Manufacturing site of this manufacturer for the described product(s),,m,EN 15804+A2: chapter 7.1 a,EN 15804+A2: chapter 7.1 a,,,,,,7.1 a,Name and address of the manufacturer(s),,,,,2,modellingAndValidation/epd24:manufacturers/epd24:site
160.0,,,new,C.3.1.2.2,v1.3,Name,Name,epd24:name,m,[1],xs:string,,Name der Produktionsstätte,Name of the manufacturing site,,m,EN 15804+A2: chapter 7.1 a,EN 15804+A2: chapter 7.1 a,,,,,,7.1 a,Name and address of the manufacturer(s),,,,,2,modellingAndValidation/epd24:manufacturers/epd24:name
161.0,,,new,C.3.1.2.3,v1.3,Kennung der Produktionsstätte,Facility identifier,epd24:facilityIdentifier,o,"[0,1]",xs:string,,Kennung der Produktionsstätte,Facility identifier of the manufacturing site,,o,EN 15804+A2: chapter 7.1 a,EN 15804+A2: chapter 7.1 a,,,,,,7.1 a,Name and address of the manufacturer(s),,,,,2,modellingAndValidation/epd24:manufacturers/epd24:facilityIdentifier
162.0,,links,new,C.3.1.2.4,v1.3,OLC Standortkennung,OLC Location code,epd24:olc,m,[1],xs:string (Open Location Code),,"Kennung, die den Standort der Produktionsstätte nach dem Pluscode/Open Location Code-System ausweist.",Code to identify the manufacturing site's location w.r.t the pluscode/open location code system.,,m,EN 15804+A2: chapter 7.1 a,EN 15804+A2: chapter 7.1 a,,,,,,7.1 a,Name and address of the manufacturer(s),,,,,2,modellingAndValidation/epd24:manufacturers/epd24:olc
163.0,,,new,C.3.1.2.5,v1.3,Länderkennung,Countrycode,epd24:geoCode,r,"[0,1]",xs:string,,"2-buchstabige Kennung, die das Land oder die Region der Produktionsstätte identifiziert (s. ISO 3166 alpha-2)",2-letter code that identifies the country or region of the manufacturing site (cf. ISO 3166 alpha-2),,m,EN 15804+A2: chapter 7.1 a,EN 15804+A2: chapter 7.1 a,,,,,,7.1 a,Name and address of the manufacturer(s),,,,,2,modellingAndValidation/epd24:manufacturers/epd24:geoCode
164.0,,,new,C.3.1.2.6,v1.3,Anschrift,Street address,epd24:streetAddress,r,"[0,1]",xs:string,,Postanschrift der Produktionsstätte,Street adress of the manufactoring site,,m,EN 15804+A2: chapter 7.1 a,EN 15804+A2: chapter 7.1 a,,,,,,7.1 a,Name and address of the manufacturer(s),,,,,2,modellingAndValidation/epd24:manufacturers/epd24:streetAddress
,"Shifted from C.3.2 to C.2.5 +
Title corrected (as in old version)",,B2.3,,v1.2,Verweis auf die originale EPD,Reference to original EPD,epd2:referenceToOriginalEPD,r,"[0,n]",GlobalReferenceType,,Hier können die zum Datensatz zugehörigen EPD-Dokumente als Quellen angehängt werden.,"Here, one or mutliple ""Source"" data sets representing the EPD document can be attached.","A ""Source data set"" set representing the EPD document shall be attached.",m,,,,,,,,,,3n5P8a1SLD18_Oiz0PDiiu,,,,2,modellingAndValidation/epd24:manufacturers/epd2:referenceToOriginalEPD
165.0,,none,B3,C.4,v1.0,Validierung,Validation,validation,r,"[0,1]",,Review / validation information on data set.,Validierungsinformationen,~,Information on verification according to ISO 14025 and EN 15804,,,,semantic,,,2020-03-01 00:00:00,,,,,,,,1,modellingAndValidation/validation
166.0,,,new,C.4.1,v1.0,Review,Review,review,r,"[0,n]",,Review information on data set.,Reviewinformationen,~,,m,,,,,,2021-03-01 00:00:00,,,,,,,,2,modellingAndValidation/validation/review
167.0,,none,B3.1,C.4.1.1,v1.0,Art der Prüfung,Type of review,@type,r,,"TypeOfReviewValues +
Dependent internal reviewReviewer(s)/verifier(s) have been involved in collecting, modelling, or entering the data set information or inventory, have commissioned or financed the work, or represent the process or product system (or quantiatitively relevant parts of it). +
Independent internal reviewReviewer(s)/verifier(s) have NOT been involved in collecting, modelling, or entering the data set information or inventory, have not commissioned or financed the work, and do not represent the process or product system (or quantiatitively relevant parts of it). But the reviewer(s) belong(s) to the organisation(s) or legally linked organisation(s) that have been involved in the above. +
Independent external reviewReviewer(s)/verifier(s) do not belong to the organisations or legally linked organisations that have been involved in collecting, modelling, or entering the data set information or inventory, have not commissioned or financed the work, or represent the process or product system (or quantiatitively relevant parts of it). +
Accredited third party reviewReviewer(s)/verifier(s) do not belong to the organisations or legally linked organisations that have been involved in collecting, modelling, or entering the data set information or inventory, have not commissioned or financed the work, or represent the process or product system (or quantiatitively relevant parts of it). The reviewer(s)/verifier(s) are accredited by an accreditation body, that is independent of the reviewer(s)/verifier(s) and the scheme operator or standardisation party. +
Independent review panelPanel of at least three independent internal or external reviewers/verfiers. Chairperson is independent external reviewer/verifier. Chairperson may invite interested parties affected by the conclusions drawn from the LCA, such as government agencies, non-governmental groups, competitors and affected industries. [Notes: ""Independent"": Reviewer(s)/verifier(s) have NOT been involved in collecting, modelling, or entering the data set information or inventory, have not commissioned or financed the work, and do not represent the process or product system (or quantiatitively relevant parts of it). ""External"": Reviewer(s)/verifier(s) do not belong to the organisations or legally linked organisations that have been involved in collecting, modelling, or entering the data set information or inventory, have not commissioned or financed the work, or represent the process or product system (or quantiatitively relevant parts of it). +
Not reviewedThe data set was not / not yet reviewed.",Type of review that has been performed regarding independency and type of review process.,Art der Prüfung,~,"Possibilities for type of review: +
- 'no verification / critical review' = not relevant for InData compliant data +
- 'internal verification / critical review (intra-company)' = only possibly relevant for generic data +
- 'dependent external verification / critical review (external reviewer is not verifiably independent from LCA expert or owner of enterprise)' = not relevant for InData compliant data +
- 'independent external verification / critical review (external reviewer who is verifiably independent from LCA expert or owner of enterprise)' = (choose this for verified external third party verification according to EN 15804)",m,EN 15804+A2: table 2 line 2,EN 15804+A2: table 2 line 2,minor,,"For InData Compliance only the following option is accepted +
a)    for EPD: +
- 'independent external verification / critical review (external reviewer who is verifiably independent from LCA expert or owner of enterprise)' +
b)    for generic data also: +
- 'internal verification / critical review (intra- company)' (at least) +
Find further explanations in FAQ.",1-3-20-81,independent external verification,T2L2,Type of review,1xYmWRQzX2P9KClp9DAa1E,,,,2,modellingAndValidation/validation/@type
